,Mu33,Mu22,Pu,L,Cb,Delta,L1tb,h,b,tf,tw
1080,-355049.696,64.307,-426.616,9,2.159,0,1,92.2782,30.6705,2.9972,1.8415
1081,-370536.669,72.384,-358.788,9,2.158,0,1,92.2782,30.6705,2.9972,1.8415
1082,-385747.476,171.324,-345.169,9,2.141,0,1,97.028,44.9834,2.1082,1.8034
1083,-413152.409,135.618,-458.612,9,2.113,0,1,108.9914,29.9974,3.0988,1.8034
1084,-460027.869,361.587,-581.533,9,2.127,0,1,99.0092,40.005,3.0988,1.651
1085,-513896.259,198.938,-760.43,9,2.132,0,1,110.0074,29.9974,3.5941,1.9939
1086,-517107.671,238.289,-592.534,9,2.166,0,1,101.0006,30.2006,4,2.11
1087,-549133.305,636.471,-887.383,9,2.14,0,1,99.2124,44.9834,3.2004,1.8034
1088,-578751.331,249.845,-1005.444,9,2.141,0,1,110.7948,29.9974,4.0005,2.1971
1089,-602005.934,786.122,-1122.512,9,2.145,0,1,99.9998,45.085,3.5941,1.905
1090,-640043.853,662.057,-1246.508,9,2.151,0,1,100.8126,40.2082,4.0005,2.1082
1091,-670505.798,326.389,-1398.184,9,2.15,0,1,111.8108,29.9974,4.4958,2.6035
1092,-692827.915,1022.267,-1493.404,9,2.154,0,1,100.8126,45.2882,4.0005,2.1082
1093,-720947.752,871.129,-1686.312,9,2.156,0,1,102.0064,40.3987,4.5974,2.54
1094,-765396.731,1256.428,-1841.621,9,2.16,0,1,101.6,45.4914,4.3942,2.3114
1095,-794603.629,1083.272,-2086.963,9,2.161,0,1,102.997,40.6908,5.1054,2.8448
1096,-849092.942,1473.088,-2345.628,9,2.169,0,1,96.012,42.7482,5.588,3.0988
1097,-874204.663,1328.033,-2513.278,9,2.166,0,1,104.013,40.9448,5.588,3.0988
1098,-935358.472,1582.223,-2933.467,9,2.169,0,1,105.0036,41.2496,6.096,3.4036
1099,-1035170.37,1971.36,-3510.246,9,2.175,0,1,106.1974,41.5544,6.7056,3.7084
1100,-1136085.1,2780.169,-4079.399,9,2.183,0,1,99.5934,43.7388,7.3914,4.0894
1101,-96831.444,6.081,-4362.675,15,1.925,0,1,36.3728,37.0967,2.1844,1.3335
1102,-93862.349,5.536,-4232.252,15,1.888,0,1,36.3728,37.0967,2.1844,1.3335
1103,-88517.978,4.556,-3997.491,15,1.819,0,1,36.3728,37.0967,2.1844,1.3335
1104,-100511.827,5.003,-4546.123,15,1.93,0,1,36.7792,37.2618,2.3876,1.4986
1105,-111951.862,1.802,-4414.579,15,1.842,0,1,48.895,28.3464,3.048,1.7018
1106,-145395.881,-0.166,-4586.715,15,2.063,0,1,49.5046,28.4988,3.3528,1.8542
1107,-153517.967,-2.803,-3988.973,15,1.814,0,1,50.0888,28.702,3.6576,2.0574
1108,-186287.021,-9.455,-2888.57,15,1.747,0,1,57.0992,31.5468,3.4544,1.905
1109,-195564.515,-15.161,-1913.445,15,1.629,0,1,77.3176,38.0619,2.7051,1.6637
1110,-213495.879,-13.197,-2933.053,15,1.778,0,1,57.7088,31.75,3.7592,2.1082
1111,-236587.979,-22.177,-1900.961,15,1.708,0,1,77.9272,38.2016,3.0099,1.8034
1112,-255362.2,-28.421,-1382.601,15,1.696,0,1,97.028,44.9834,2.1082,1.8034
1113,-328953.939,-28.982,-1055.093,15,2.023,0,1,78.5876,38.3667,3.3401,1.9685
1114,-406022.836,-31.139,-121.26,15,2.264,0,1,99.0092,40.005,3.0988,1.651
1115,-492714.405,-39.733,531.183,15,2.528,0,1,98.2218,44.9834,2.7051,1.8034
1116,-522514.06,-47.031,705.232,15,2.602,0,1,99.2124,44.9834,3.2004,1.8034
1117,-590870.063,-53.548,1138.127,15,2.642,0,1,99.9998,45.085,3.5941,1.905
